"date","city_wide_daily_average","trap_days","trap","number","region","region_name"
2015-06-01,0,3,"north_east_1",0,"NE","NE1"
2015-06-01,0,3,"north_east_2",2,"NE","NE2"
2015-06-01,0,3,"north_east_3",1,"NE","NE3"
2015-06-01,0,3,"north_east_4",0,"NE","NE4"
2015-06-01,0,3,"north_east_5",0,"NE","NE5"
2015-06-01,0,3,"north_east_6",0,"NE","NE6"
2015-06-01,0,3,"north_east_7",0,"NE","NE7"
2015-06-01,0,3,"south_east_1",0,"SE","SE1"
2015-06-01,0,3,"south_east_2",0,"SE","SE2"
2015-06-01,0,3,"south_east_3",0,"SE","SE3"
2015-06-01,0,3,"south_east_4",0,"SE","SE4"
2015-06-01,0,3,"south_east_5",1,"SE","SE5"
2015-06-01,0,3,"south_east_6",0,"SE","SE6"
2015-06-01,0,3,"south_east_7",1,"SE","SE7"
2015-06-01,0,3,"south_west_1",0,"SW","SW1"
2015-06-01,0,3,"south_west_2",1,"SW","SW2"
2015-06-01,0,3,"south_west_3",0,"SW","SW3"
2015-06-01,0,3,"south_west_4",1,"SW","SW4"
2015-06-01,0,3,"south_west_5",0,"SW","SW5"
2015-06-01,0,3,"south_west_6",0,"SW","SW6"
2015-06-01,0,3,"south_west_7",0,"SW","SW7"
2015-06-02,4,1,"north_west_1",2,"NW","NW1"
2015-06-02,4,1,"north_west_2",7,"NW","NW2"
2015-06-02,4,1,"north_west_3",3,"NW","NW3"
2015-06-02,4,1,"north_west_4",0,"NW","NW4"
2015-06-02,4,1,"north_west_5",4,"NW","NW5"
2015-06-02,4,1,"north_west_6",1,"NW","NW6"
2015-06-02,4,1,"north_west_7",4,"NW","NW7"
2015-06-02,4,1,"north_east_1",3,"NE","NE1"
2015-06-02,4,1,"north_east_2",5,"NE","NE2"
2015-06-02,4,1,"north_east_3",3,"NE","NE3"
2015-06-02,4,1,"north_east_4",0,"NE","NE4"
2015-06-02,4,1,"north_east_5",2,"NE","NE5"
2015-06-02,4,1,"north_east_6",4,"NE","NE6"
2015-06-02,4,1,"north_east_7",4,"NE","NE7"
2015-06-02,4,1,"south_east_1",1,"SE","SE1"
2015-06-02,4,1,"south_east_2",3,"SE","SE2"
2015-06-02,4,1,"south_east_3",6,"SE","SE3"
2015-06-02,4,1,"south_east_4",5,"SE","SE4"
2015-06-02,4,1,"south_east_5",1,"SE","SE5"
2015-06-02,4,1,"south_east_6",3,"SE","SE6"
2015-06-02,4,1,"south_east_7",14,"SE","SE7"
2015-06-02,4,1,"south_west_1",3,"SW","SW1"
2015-06-02,4,1,"south_west_2",12,"SW","SW2"
2015-06-02,4,1,"south_west_3",3,"SW","SW3"
2015-06-02,4,1,"south_west_4",2,"SW","SW4"
2015-06-02,4,1,"south_west_5",3,"SW","SW5"
2015-06-02,4,1,"south_west_6",2,"SW","SW6"
2015-06-02,4,1,"south_west_7",0,"SW","SW7"
2015-06-03,2,1,"north_west_1",2,"NW","NW1"
2015-06-03,2,1,"north_west_2",2,"NW","NW2"
2015-06-03,2,1,"north_west_3",0,"NW","NW3"
2015-06-03,2,1,"north_west_4",1,"NW","NW4"
2015-06-03,2,1,"north_west_5",0,"NW","NW5"
2015-06-03,2,1,"north_west_6",0,"NW","NW6"
2015-06-03,2,1,"north_west_7",1,"NW","NW7"
2015-06-03,2,1,"north_east_1",1,"NE","NE1"
2015-06-03,2,1,"north_east_2",0,"NE","NE2"
2015-06-03,2,1,"north_east_3",1,"NE","NE3"
2015-06-03,2,1,"north_east_4",0,"NE","NE4"
2015-06-03,2,1,"north_east_5",0,"NE","NE5"
2015-06-03,2,1,"north_east_6",0,"NE","NE6"
2015-06-03,2,1,"north_east_7",1,"NE","NE7"
2015-06-03,2,1,"south_east_1",0,"SE","SE1"
2015-06-03,2,1,"south_east_2",3,"SE","SE2"
2015-06-03,2,1,"south_east_3",1,"SE","SE3"
2015-06-03,2,1,"south_east_4",1,"SE","SE4"
2015-06-03,2,1,"south_east_5",0,"SE","SE5"
2015-06-03,2,1,"south_east_6",2,"SE","SE6"
2015-06-03,2,1,"south_east_7",2,"SE","SE7"
2015-06-03,2,1,"south_west_1",0,"SW","SW1"
2015-06-03,2,1,"south_west_2",8,"SW","SW2"
2015-06-03,2,1,"south_west_3",5,"SW","SW3"
2015-06-03,2,1,"south_west_4",6,"SW","SW4"
2015-06-03,2,1,"south_west_5",0,"SW","SW5"
2015-06-03,2,1,"south_west_6",5,"SW","SW6"
2015-06-03,2,1,"south_west_7",0,"SW","SW7"
2015-06-04,3,1,"north_west_1",2,"NW","NW1"
2015-06-04,3,1,"north_west_2",1,"NW","NW2"
2015-06-04,3,1,"north_west_3",0,"NW","NW3"
2015-06-04,3,1,"north_west_4",3,"NW","NW4"
2015-06-04,3,1,"north_west_5",4,"NW","NW5"
2015-06-04,3,1,"north_west_6",0,"NW","NW6"
2015-06-04,3,1,"north_west_7",4,"NW","NW7"
2015-06-04,3,1,"north_east_1",2,"NE","NE1"
2015-06-04,3,1,"north_east_2",2,"NE","NE2"
2015-06-04,3,1,"north_east_3",1,"NE","NE3"
2015-06-04,3,1,"north_east_4",0,"NE","NE4"
2015-06-04,3,1,"north_east_5",0,"NE","NE5"
2015-06-04,3,1,"north_east_6",1,"NE","NE6"
2015-06-04,3,1,"north_east_7",2,"NE","NE7"
2015-06-04,3,1,"south_east_1",1,"SE","SE1"
2015-06-04,3,1,"south_east_2",3,"SE","SE2"
2015-06-04,3,1,"south_east_3",5,"SE","SE3"
2015-06-04,3,1,"south_east_4",2,"SE","SE4"
2015-06-04,3,1,"south_east_5",1,"SE","SE5"
2015-06-04,3,1,"south_east_6",0,"SE","SE6"
2015-06-04,3,1,"south_east_7",14,"SE","SE7"
2015-06-04,3,1,"south_west_1",4,"SW","SW1"
2015-06-04,3,1,"south_west_2",6,"SW","SW2"
2015-06-04,3,1,"south_west_3",6,"SW","SW3"
2015-06-04,3,1,"south_west_4",5,"SW","SW4"
2015-06-04,3,1,"south_west_5",2,"SW","SW5"
2015-06-04,3,1,"south_west_6",4,"SW","SW6"
2015-06-04,3,1,"south_west_7",1,"SW","SW7"
2015-06-05,9,1,"north_west_1",8,"NW","NW1"
2015-06-05,9,1,"north_west_2",12,"NW","NW2"
2015-06-05,9,1,"north_west_3",1,"NW","NW3"
2015-06-05,9,1,"north_west_4",13,"NW","NW4"
2015-06-05,9,1,"north_west_5",20,"NW","NW5"
2015-06-05,9,1,"north_west_6",2,"NW","NW6"
2015-06-05,9,1,"north_west_7",11,"NW","NW7"
2015-06-05,9,1,"north_east_1",11,"NE","NE1"
2015-06-05,9,1,"north_east_2",3,"NE","NE2"
2015-06-05,9,1,"north_east_3",10,"NE","NE3"
2015-06-05,9,1,"north_east_4",0,"NE","NE4"
2015-06-05,9,1,"north_east_5",1,"NE","NE5"
